	Jour	Annee	Mois	Jour.1	Depart	Arrivee	Pays	Km_jours	Km_cumule	Altitude	Lat_degres	Lat_minutes	Lat_decimale	Lat_radian	Long_degres	Long_minutes	Long_decimale	Long_radian	km_vol_oiseau	km_corde	km_segment	km_cumule	Unnamed: 22	Objet	Lieu	Contexte	Catégorie	Post	Jour xxx	Titre	Unnamed: 30	Poids	Taille	Couleur	Matiere	Origine	Unnamed: 36	Date	Coordonnees
643	644	2014	10	2	Hpa-An	Thaton	Myanmar	40	9776	24	16	55.177	16.9196	0.2953	97	22.127	97.3688	1.6994	9442.9	8602.4	25.6	46804.9		Billet	Mawlamyaing Road Thaton	Grimpette sur la colline en attendant l'orage	Almanach	0	Jour 644			0.69	125	6	5	2		jeudi 2 octobre 2014	"N 16°55	1767' E 97°22	1271'"
598	599	2014	8	18	Penang	Penang	Malaysia	0	9061	24	5	25.074	5.4179	0.0946	100	20.028	100.3338	1.7512	10622.7	9434.9	0.2	45241.2		Bracelet de montre	"George Town	 Penang"	Ecriture/montage vidéo	Almanach	0	Jour 599			2.84	23	14	2	2		lundi 18 août 2014	"N 05°25	074' E 100°20	028'"
597	598	2014	8	17	Penang	Penang	Malaysia	0	9061	24	5	24.99	5.4165	0.0945	100	19.938	100.3323	1.7511	10622.7	9434.9	0.1	45240.9		Foret	"George Town	 Penang"	Reprise du travail	Almanach	0	Jour 598			2.53	60	14	2	2		dimanche 17 août 2014	"N 05°24	990' E 100°19	938'"
152	153	2013	3	1	Lagune-de-Naïla	Route-de-Tarfaya	Morocco	55	3705	24	27	58.851	27.9809	0.4884	-12	#CHAMP!	#CHAMP!	#CHAMP!	2345.6	2332.4	41.5	3542.2		Clé de pecheur	Route de Tarfaya	Nuit en cabane	Carnet de bord	1	Jour 153	Route de Tarfaya		1.93	156	17	0	2		vendredi 1 mars 2013	"N 27°58	851' W 12°39	969'"
225	226	2013	5	13	Dakar	Dakar	Senegal	0	5220	24	14	42.803	14.7134	0.2568	-17	#CHAMP!	#CHAMP!	#CHAMP!	3900.3	3839.7	1.1	5493.4		Bijoux	Kër Thiossane	Workshop	Carnet de bord	1	Jour 226	Kër Thiossane		1.82	16	4	2	2		lundi 13 mai 2013	"N 14°42	803' W 17°27	483'"
612	613	2014	9	1	Bangkok	Bangkok	Thailand	0	9261	24	13	44.097	13.735	0.2397	100	34.595	100.5766	1.7554	9935.8	8959.6	6.5	46193.1		Ciselure métalique 	Samitivej Hospital Bangkok	C'est la Dengue	Carnet de bord	1	Jour 613	Convalescence Bangkokoise...		1.15	25	3	2	2		lundi 1 septembre 2014	"N 13°44	097' E 100°34	5948'"
887	888	2015	6	3	Istanbul	Istanbul	Turkey	0	13293	24	41	1.569	41.0262	0.716	28	58.616	28.9769	0.5057	2712.4	2691.9	0.2	66305.7		Inox	"Beyoğlu	 Istanbul	 Turquie"	Atelier metal et interview	Almanach	0	Jour 888			8.16	23	14	2	2		mercredi 3 juin 2015	"N 41°01	569' E 28°58	616'"
614	615	2014	9	3	Bangkok	Bangkok	Thailand	0	9261	24	13	44.095	13.7349	0.2397	100	34.59	100.5765	1.7554	9935.8	8959.6	0.0	46193.1		Bracelet hospitalisation	Samitivej Hospital Bangkok	Convalescence	Carnet de bord	1	Jour 615	En direct du Samitivej Hospital		2.17	110	13	3	2		mercredi 3 septembre 2014	"N 13°44	095' E 100°34	590'"
264	265	2013	6	21	Campeche	Mexico-D.F	Mexico	0	5250	24	16	25.576	16.4263	0.2867	-95	#CHAMP!	#CHAMP!	#CHAMP!	8728.1	8061.8	345.5	21036.6		Bille	Palenque	Départ	Carnet de bord	1	Jour 265	Palenque		0.36	40	17	7	2		jeudi 20 juin 2013	"N 17°30	366' W 91°58	502'"
159	160	2013	3	8	Laayoune	Laayoune	Morocco	0	3780	24	27	9.738	27.1623	0.4741	-13	#CHAMP!	#CHAMP!	#CHAMP!	2447.8	2432.8	0.1	3659.5		Crayon	Laayoune	Impasse administrative	Carnet de bord	1	Jour 160	Laayoune		1.47	55	8	0	2		vendredi 8 mars 2013	"N 27°09	738' W 13°12	127'"
